Stage Name,Full Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Himchan,Kim Himchan,4/19/90,B.A.P,South Korea,Seoul,,M
Hitomi,Honda Hitomi,10/6/01,IZ*ONE,Japan,Toghichi,,F
Hohyeon,Lee Hohyeon,10/14/01,TRCNG,South Korea,,,M
Hojoon,Jeon Hojoon,10/31/92,Topp Dogg,South Korea,Gwangju,,M
Hojung,Go Hojung,10/20/94,HOTSHOT,South Korea,,,M
Hongbin,Lee Hongbin,9/29/93,VIXX,South Korea,Seoul,,M
Honggi,Lee Honggi,3/2/90,FTISLAND,South Korea,Gwangju,,M
Hongil,Yoon Hongil,1/11/99,Astin,South Korea,,,M
Hongjoong,Kim Hongjoong,11/7/98,ATEEZ,South Korea,,,M
Hongseob,Shim Hongseob,1/8/98,24K,South Korea,,,M
Hongseok,Yang Hongseok,4/17/94,PENTAGON,South Korea,,,M
Hoon,Yeo Hoonmin,8/16/91,U-KISS,South Korea,Namyangju,,M
Hoony,Lee Seunghoon,1/11/92,WINNER,South Korea,Busan,,M
Hoshi,Kwon Soonyoung,6/15/96,Seventeen,South Korea,Namyangju,,M
Hoya,Lee Howon,3/28/91,,South Korea,Busan,Infinite H,M
Hoyoung,Bae Hoyoung,8/10/98,Verivery,South Korea,,,M
Hueningkai,Chung Kai,8/14/02,TXT,USA,,,M
Hui,Lee Hwitaek,8/28/93,PENTAGON,South Korea,,,M
Hui,Liang Hui,7/18/95,24K,China,,,M
Huihyeon,Ki Huihyeon,6/16/95,DIA,South Korea,Namwon,,F
Huijun,Noh Huijun,10/7/03,MCND,South Korea,,,M
Hwall,Heo Hyunjoon,3/9/00,,South Korea,Busan,,M
Hwanhee,Lee Hwanhee,5/6/98,UP10TION,South Korea,Daejeon,,M
Hwani,Jo Sihyeon,11/16/94,DUSTIN,South Korea,,,M
Hwanwoong,Yeo Hwanwoong,8/26/98,Oneus,South Korea,,,M
Hwarang,Park Jonghan,12/5/95,Spectrum,South Korea,,,M
Hwasa,Ahn Hyejin,7/23/95,Mamamoo,South Korea,Jeonju,,F
Hweseung,Yoo Hweseung,2/28/95,N.Flying,South Korea,,,M
Hwi,Jo Mingyu,9/26/02,Newkidd,South Korea,,,M
Hwiyoung,Kim Youngkyun,5/11/99,SF9,South Korea,,,M
Hyangsuk,Lee Hyangsuk,4/24/91,2EYES,South Korea,Seoul,,F
Hyebin,Lee Hyebin,1/12/96,MOMOLAND,South Korea,Andong,,F
Hyebin,Im Hyebin,11/10/99,Highteen,South Korea,,,F
Hyebin,Kim Hyebin,3/29/97,AREAL,South Korea,,,F
Hyejeong,Shin Hyejeong,8/10/93,AoA,South Korea,Seoul,,F
Hyeji,Jeong Hyeji,4/2/92,4TEN,South Korea,Seoul,,F
Hyejin,Baek Hyejin,11/21/96,4TEN,South Korea,Sacheon,,F
Hyejin,Kang Hyejin,7/13/00,CRAXY,South Korea,,,F
Hyejoo,Park Hyunjoo,1/12/99,Highteen,South Korea,,,F
Hyemi,Pyo Hyemi,4/3/91,9Muses,South Korea,Gwangju,9MUSES A,F
Hyemi,Kim Hyemi,8/10/90,Fiestar,South Korea,Seoul,,F
Hyeoeun,Lee Hyoeun,3/16/93,Stellar,South Korea,Seoul,,F
Hyeongjun,Song Hyeongjun,11/30/02,,South Korea,,,M
Hyeongjun,Song Hyeongjun,11/30/02,CRAVITY,South Korea,,,M
Hyeongseo,Myeong Hyeongseo,6/25/01,Busters,South Korea,,,F
Hyeongseok,Chu Hyeongseok,9/13/00,Astin,South Korea,,,M
Hyeran,Noh Hyeran,4/9/93,Brave Girls,South Korea,,,F
Hyeri,Lee Hyeri,6/9/94,Girl's Day,South Korea,Gwangju,,F
Hyerim,Woo Hyerim,9/1/92,Wonder Girls,South Korea,Seoul,,F
Hyerin,Seo Hyerin,8/23/93,EXID,South Korea,Gwangju,,F
Hyerin,Kim Hyerin,6/13/93,2EYES,South Korea,Seoul,,F
Hyeseong,Yang Hyeseon,10/15/99,ELRIS,South Korea,,,F
Hyewon,Kang Hyewon,7/5/99,IZ*ONE,South Korea,Yangsan,,F
Hyeyeon,Kang Hyeyeon,12/8/90,BESTie,South Korea,,,F
Hyeyeon,Cho Hyeyeon,8/5/00,,South Korea,,Gugudan Oguogu,F
Hyogyeong,Jang Hyogyeong,11/15/99,ARIAZ,South Korea,,,F
Hyojin,Kim Hyojin,4/22/94,ONF,South Korea,Seoul,,M
Hyojung,Choi Hyojung,7/28/94,Oh My Girl,South Korea,Yangyang,,F
Hyomin,Park Sunyoung,5/30/89,T-ara,South Korea,Busan,,F
Hyorin,Kim Hyojung,12/11/90,SISTAR,South Korea,,SISTAR19,F
Hyosun,Lim Hyosun,7/10/98,H.U.B,South Korea,,,F
Hyosung,Jun Hyoseong,10/13/89,SECRET,South Korea,Cheongju,,F
Hyoyeon,Kim Hyoyeon,9/22/89,SNSD,South Korea,Incheon,,F
Hyuk,Han Sanghyuk,7/5/95,VIXX,South Korea,Daejeon,Big Byung,M
Hyukjin,Jang Hyukjin,12/20/93,100%,South Korea,Busan,,M
Hyuna,Kim Hyuna,6/6/92,4minute,South Korea,Jeolla,,F
Hyuna,Moon Hyuna,1/19/87,,South Korea,Yeosu,,F
Hyunbin,Kwon Hyunbin,3/4/97,JBJ,South Korea,Seoul,,M
Hyunbin,Kim Hyunbin,5/26/04,TRI.BE,South Korea,,,F
Hyungsik,Park Hyungsik,11/16/91,ZE:A,South Korea,Yongin,,M
Hyungwon,Chae Hyungwon,1/15/94,MONSTA X,South Korea,Gwangju,,M
Hyunho,Lee Hyunho,11/4/98,D-CRUNCH,South Korea,,,M
Hyunjae,Lee Jaehyun,9/13/97,The Boyz,South Korea,,,M
Hyunji,Kim Hyunji,6/30/92,Hashtag,South Korea,,,F
Hyunjin,Kim Hyunjin,11/15/00,LOONA,South Korea,Jeonju,Loona 1/3,F
Hyunjin,Hwang Hyunjin,3/20/00,Stray Kids,South Korea,Seoul,,M
Hyunjoo,Lee Hyunjoo,2/5/98,UNI.T,South Korea,Seoul,,F
Hyunjun,Lee Hyunjun,12/21/99,IZ,South Korea,,,M
Hyunkyung,Kim Hyunjong,9/5/98,Romeo,South Korea,,,M
Hyunmin,Byun Hyunmin,4/17/99,,South Korea,,,M
Hyunoh,Park Hyunoh,2/12/99,D-CRUNCH,South Korea,,,M
Hyunseong,Shim Hyunseong,6/9/93,Boyfriend,South Korea,Yeongcheon,,M
Hyunseong,Go Hyunseo,6/17/99,G-reyish,South Korea,,,F
Hyunseung,Jang Hyunseung,9/3/89,,South Korea,Suncheon,Troublemaker,M
Hyunsik,Lim Hyunsik,3/7/92,BtoB,South Korea,Ilsan,,M
Hyunsoo,Kim Hyunsoo,4/12/95,D1CE,South Korea,,,M
Hyunsuk,Choi Hyunsuk,4/21/99,Treasure,South Korea,Daegu,,M
Hyunsuk,Yoon Hyunsuk,9/8/01,CIX,South Korea,,,M
Hyunuk,Han Hyunuk,9/26/94,IN2IT,South Korea,,,M
Hyunwoo,Kim Hyunwoo,1/21/01,TRCNG,South Korea,,,M
Hyunwoo,Baek Hyunwoo,3/19/99,D-CRUNCH,South Korea,,,M
Hyunwook,Ji Hyunwook,7/1/98,D-CRUNCH,South Korea,,,M
Hyunwoong,Kim Hyunwoong,2/8/98,14U,South Korea,,,M
Hyunyoung,Cho Hyunyoung,8/11/91,Rainbow,South Korea,Seoul,"Rainbow Blaxx, Rainbow Pixie",F
I,Cha Yoonji,12/2/96,,South Korea,Busan,,F
I.M,Lim Changkyun,1/26/96,MONSTA X,South Korea,Gwangju,,M
I.N,Yang Jeongin,2/8/01,Stray Kids,South Korea,Busan,,M
Iaan,Yoo Dongju,3/22/02,XUM,South Korea,,,F
Ilhoon,Jung Ilhoon,10/4/94,BtoB,South Korea,Seoul,,M
Inho,Hwang Inho,6/21/93,IN2IT,South Korea,,,M
Inpyo,Lee Inpyo,8/14/95,IN2IT,South Korea,,,M
Inseong,Kim Inseong,7/12/93,SF9,South Korea,,,M
Inseong,Jeong Inseong,7/1/94,KNK,South Korea,,,M
Insoo,Kang Insoo,3/10/88,MYNAME,South Korea,Suwon,,M
Intak,Hwang Intak,8/31/03,P1Harmony,South Korea,,,M
Ireh,Cho Seoyoung,4/30/02,Purple Kiss,South Korea,,,F
Irene,Bae Juhyun,3/29/91,Red Velvet,South Korea,Daegu,Red Velvet - IRENE SEULGI,F
Isa,Lee Chaeyoung,1/23/02,STAYC,South Korea,,,F
Isaac,Voo Isaak,12/12/94,IN2IT,Malaysia,,,M
Isol,,5/1/97,Lusty,South Korea,Seoul,,F
IU,Lee Jieun,5/16/93,,South Korea,Seoul,,F
J,Lee Yeji,2/12/98,ANS,South Korea,,,F
J,Jang Yeeun,12/9/04,STAYC,South Korea,,,F
J-Hoon,Lim Junghoon,7/15/90,B.I.G,South Korea,Seoul,,M
J-Hope,Jung Hoseok,2/18/94,BTS,South Korea,Gwangju,,M
J-Kid,Han Jeonghoon,2/14/00,ENOi,South Korea,,,M
J-Min,Jeon Minwook,10/16/99,BAE173,South Korea,,,M
J-Us,Lee Seungjoon,1/13/95,ONF,South Korea,Seoul,,M
J.seph,Kim Taehyung,6/21/92,KARD,South Korea,,,M
J.YOU,Kim Jaeyu,11/2/00,TOO,South Korea,,,M
Jackson,Jackson Wang,3/28/94,GOT7,Hong Kong,Hong Kong,,M
Jacob,Bae Joonyoung,5/30/97,The Boyz,South Korea,Toronto,,M
Jacob,Zhang Peng,9/7/96,VAV,China,,,M
Jae,Park Jaehyung,9/15/92,DAY6,South Korea,Buenos Aires,,M
Jaebin,Deung Bin,2/13/97,VARSITY,China,Hunan,,M
Jaechan,Park Jaechan,12/6/01,Dongkiz,South Korea,,,M
Jaehan,Kim Jaehan,7/1/95,Spectrum,South Korea,,,M
Jaehee,Lee Jaehee,3/18/04,Weeekly,South Korea,,,F
Jaeho,Kim Jaeho,9/17/92,HISTORY,South Korea,,,M
Jaehwan,Kim Jaehwan,5/27/96,Wanna One,South Korea,Seoul,,M
Jaehyo,Ahn Jaehyo,12/23/90,Block B,South Korea,Busan,,M
Jaehyuk,Yoon Jaehyuk,7/23/01,Treasure,South Korea,,,M
Jaehyun,Jung Yoonoh,2/14/97,NCT,South Korea,Seoul,"NCT U, NCT 127",M
Jaehyun,Kim Jaehyun,7/15/94,N.Flying,South Korea,Seoul,,M
Jaehyun,Bong Jaehyun,1/4/99,Golden Child,South Korea,,,M
Jaejin,Lee Jaejin,12/17/91,FTISLAND,South Korea,Cheongju,,M
Jaejoong,Kim Jaejoong,1/26/86,JYJ,South Korea,Gongju,,M
Jaekyung,Kim Jaekyung,12/24/88,Rainbow,South Korea,Seoul,Rainbow Blaxx,F
Jaemin,Na Jaemin,8/13/00,NCT,South Korea,,NCT Dream,M
Jaeseok,Park Jaeseok,11/20/95,,South Korea,,,M
Jaeun,Ha Jaeun,9/28/99,ARGON,South Korea,,,M
Jaeyoon,Lee Jaeyoon,8/9/94,SF9,South Korea,,,M
Jaeyun,Lee Jaeyun,8/16/00,TOO,South Korea,,,M
Jake,Shim Jaeyoon,11/15/02,ENHYPEN,South Korea,,,M
Jamie,Park Jimin,7/5/97,15&,South Korea,Junggu,,F
Jane,Sung Jiyeon,12/20/97,MOMOLAND,South Korea,Changwon,,F
Jangjun,Lee Jangjun,3/3/97,Golden Child,South Korea,,,M
Jason,Kim Byeongkwan,8/13/96,A.C.E,South Korea,Seoul,,M
Jay,Kim Jinhwan,2/7/94,iKON,South Korea,Jeju,,M
Jay,Park Jongsung,4/20/02,ENHYPEN,South Korea,,,M
JB,Im Jaebum,1/6/94,GOT7,South Korea,Goyang,,M
Jea,Kim Hyojin,9/18/81,Brown Eyed Girls,South Korea,,,F
Jeewon,Kim Jiwon,4/1/99,Cignature,South Korea,Busan,,F
Jehyun,Moon Jehyun,4/20/99,1TEAM,South Korea,,,M
Jei,Kim Jinhee,9/5/89,Fiestar,South Korea,Bucheon,,F
Jen,Kim Yehyeon,3/27/97,UNVS,South Korea,,,M
Jenissi,Kim Taeyang,8/2/91,,South Korea,Seoul,,M
Jennie,Kim Jennie,1/16/96,BLACKPINK,South Korea,Anyang,,F
Jenny,Lee Soyul,9/4/96,,South Korea,Seoul,,F
Jeno,Lee Jeno,4/23/00,NCT,South Korea,,NCT Dream,M
Jeon Woong,Jeon Woong,10/15/97,AB6IX,South Korea,,,M
Jeonghan,Yoon Jeonghan,10/4/95,Seventeen,South Korea,Seoul,,M
Jeonghee,Go Jeonghee,3/11/00,Favorite,South Korea,Incheon,,F
Jeongkyun,Jeong Jeongkyun,11/27/87,,South Korea,,,M
Jeongmin,Lee Jeongmin,2/1/94,Boyfriend,South Korea,Suwon,,M
Jeongseung,Park Jeongseung,5/20/02,D-CRUNCH,South Korea,,,M
Jeonguk,Kim Jeonguk,3/20/93,24K,South Korea,Busan,,M
Jeongwoo,Park Jeongwoo,9/28/04,Treasure,South Korea,,,M
Jeongyeon,Yoo Jeongyeon,11/1/96,Twice,South Korea,Suwon,,F
Jeonyul,Jeon Yuri,3/20/94,Stellar,South Korea,Seoul,,F
Jerome,Oh Sungmin,8/25/01,TOO,South Korea,,,M
Jerrry,Ahn Sohyun,8/27/92,Tahiti,South Korea,Seoul,,F
Jessica,Jessica Jung,4/18/89,,South Korea,,,F
Ji Hansol,Ji Hansol,11/21/94,Newkidd,South Korea,Busan,,M
Jia,Meng Jia,2/3/89,miss A,China,Changja,,F
Jia,Guo Jiajia,7/30/05,TRI.BE,China,,,F
Jiae,Yoo Jiae,5/21/93,Lovelyz,South Korea,Seoul,,F
Jiae,Kim Jiae,10/31/95,Wassup,South Korea,,,F
Jiahn,Yoo Jiahn,4/1/92,IN2IT,South Korea,,,M
Jian,Kwon Jieun,3/14/01,LUNARSOLAR,South Korea,,,F
Jibeom,Kim Jibeom,2/3/99,Golden Child,South Korea,,,M
Jieun,Song Jieun,5/5/90,SECRET,South Korea,Seoul,,F
Jieun,Park Jieun,9/4/97,Purple Kiss,South Korea,,,F
Jieun,Choi Jieun,3/3/01,Bling Bling,South Korea,,,F
Jihan,Han Jihyo,7/12/04,Weeekly,South Korea,,,F
Jiheon,Baek Jiheon,4/17/03,fromis_9,South Korea,Jeolla,,F
Jiho,Kim Jiho,4/4/97,Oh My Girl,South Korea,Okcheon,,F
Jihoo,Lim Soojung,8/5/98,IZ,South Korea,,,M
Jihoon,Park Jihoon,5/29/99,Wanna One,South Korea,Masan,,M
Jihoon,Park Jihoon,3/14/00,Treasure,South Korea,Busan,,M
Jihun,Kim Jihun,1/9/00,TRCNG,South Korea,Daegu,,M
Jihun,Kim Jihun,2/20/95,KNK,South Korea,,,M
Jihyo,Park Jisoo,2/1/97,Twice,South Korea,Guri,,F
Jihyo,Lee Jihyo,4/22/01,PRECIOUS,South Korea,Gyeonggi,,F
Jihyun,Nam Jihyun,1/9/90,4minute,South Korea,Seoul,,F
Jimin,Shin Jimin,1/8/91,,South Korea,Seoul,AOA BLACK,F
Jimin,Park Jimin,10/13/95,BTS,South Korea,Busan,,M
JIN,Park Myungeun,6/12/96,Lovelyz,South Korea,Busan,,F
Jin,Kim Seokjin,12/4/92,BTS,South Korea,Gwacheon,,M
Jin Jin,Park Jinwoo,3/15/96,ASTRO,South Korea,Nowon,,M
JinE,Shin Hyejin,1/22/95,,South Korea,Pohang,,F
Jingyu,Lee Jingyu,4/22/98,Astin,South Korea,,,M
Jinha,Kim Jinha,11/21/03,TRI.BE,South Korea,,,F
Jinho,Jo Jinho,4/17/92,PENTAGON,South Korea,,,M
Jinhong,Kim Jinhong,1/2/98,24K,South Korea,Seoul,,M
Jinhoo,Kim Jinwook,8/2/95,UP10TION,South Korea,Changwon,,M
Jinhui,,11/21/96,Lusty,South Korea,Seongnam,,F
Jinju,Park Jinju,4/28/90,,South Korea,,,F
Jinkwon,Kim Jinkwon,1/31/01,Newkidd,South Korea,,,M
Jinny,Park Jinhee,1/19/98,SECRET NUMBER,South Korea,California,,F
Jinsol,Lee Jinsol,12/4/01,APRIL,South Korea,Andong,,F
JinSoul,Jung Jinsol,6/13/97,LOONA,South Korea,,Loona Odd Eye Circle,F
Jinsung,Jung Jinsung,3/30/02,1the9,South Korea,Seoul,,M
Jinu,Kim Jinwoo,9/26/91,WINNER,South Korea,Imja,,M
Jinwoo,Lee Jinwoo,2/20/96,1TEAM,South Korea,,,M
Jinwoo,Park Jinwoo,1/12/00,ENOi,South Korea,,,M
Jinwoo,Lee Jinwoo,9/13/04,Ghost9,South Korea,,TEEN TEEN,M
Jinyoung,Jung Jinyoung,11/18/91,,South Korea,Chungju,,M
Jinyoung,Park Jinyoung,9/22/94,GOT7,South Korea,Changwon,,M
Jinyoung,Bae Jinyoung,5/10/00,CIX,South Korea,Seoul,,M
Jinyoung,Woo Jinyoung,5/31/97,D1CE,South Korea,,,M
Jisan,Choi Jinsang,11/3/99,Hot Blood Youth,South Korea,,,M
Jisoo,Seo Jisoo,2/11/94,Lovelyz,South Korea,Incheon,,F
Jisoo,Kim Jisoo,1/3/95,BLACKPINK,South Korea,Seoul,,F
Jisoo,Shin Jisoo,2/28/94,Tahiti,South Korea,Chuncheon,,F
Jisoo,Jung Jisoo,11/22/03,Busters,South Korea,,,F
Jisook,Kim Jisook,7/18/90,Rainbow,South Korea,Suwon,Rainbow Pixie,F
Jisu,Choi Jisu,1/19/00,TOO,South Korea,,,M
Jisun,Roh Jisun,11/23/98,fromis_9,South Korea,Seoul,,F
Jisun,Hwang Jisun,10/17/89,S#aFLA,South Korea,,,F
Jisung,Park Jisung,2/5/02,NCT,South Korea,,NCT Dream,M
Jisung,Yoon Jisung,3/8/91,Wanna One,South Korea,Wonju,,M
Jisung,Kim Jisung,12/21/00,TRCNG,South Korea,,,M
Jiu,Kim Minji,5/17/94,Dreamcatcher,South Korea,Daejeon,,F
Jiung,Choi Jiwoong,10/7/01,P1Harmony,South Korea,,,M
Jiwon,Yang Jiwon,4/5/88,UNI.T,South Korea,Seoul,SPICA-S,F
Jiwon,Park Jiwon,3/20/98,fromis_9,South Korea,Busan,,F
Jiwon,Heo Jiwon,9/4/00,Cherry Bullet,South Korea,,,F
Jiwon,Park Jiwon,3/17/97,BOTOPASS,South Korea,,,F
Jiwoo,Jeon Jiwoo,10/4/96,KARD,South Korea,,,F
Jiyeon,Park Jiyeon,6/7/93,T-ara,South Korea,Seoul,,F
Jiyoon,Jeon Jiyoon,10/15/90,4minute,South Korea,Seoul,2YOON,F
Jiyoon,Woo Jiyoon,1/6/96,Bolbbalgan4,South Korea,Yeongju,,F
Jiyoon,Shin Jiyoon,3/2/02,Weeekly,South Korea,,,F
Jiyou,Im Changsook,6/15/89,Two X,South Korea,,,F
Jiyoung,Kang Jiyoung,1/18/94,,South Korea,Paju,,F
Jiyoung,Ahn Jiyoung,9/14/95,Bolbbalgan4,South Korea,Yeongju,,F
Jiyul,Yang Jungyoon,7/30/91,,South Korea,Seoul,,F
JJ,Jun Jihyeok,12/11/98,DUSTIN,South Korea,,,M
JK,Kim Jikang,3/17/98,Girlkind,South Korea,,,F
Johnny,John Seo,2/9/95,NCT,USA,Chicago,NCT 127,M
Johyun,Shin Jiwon,4/14/96,Berry Good,South Korea,,,F
Jongho,Choi Jongho,10/12/00,ATEEZ,South Korea,,,M
Jonghoon,Choi Jonghoon,3/7/90,FTISLAND,South Korea,Seoul,,M
Jonghwan,Jo Jonghwan,11/23/92,100%,South Korea,Seoul,,M
Jonghyeong,Kim Jonghyeong,4/13/02,Dongkiz,South Korea,,,M
Jonghyun,Lee Jonghyun,5/15/90,CNBLUE,South Korea,Busan,,M
Jonghyun†,Kim Jonghyun,4/8/90,,South Korea,Seoul,,M
Jongseob,Kim Jongseob,11/19/05,P1Harmony,South Korea,,,M
Jongup,Moon Jongup,2/6/95,B.A.P,South Korea,Seoul,,M
JOO,Jung Minjoo,10/11/90,,South Korea,Seoul,,F
Joo E,Lee Joowon,8/18/99,MOMOLAND,South Korea,Bucheon,,F
Jooan,Im Jimyoung,10/4/96,We In The Zone,South Korea,Dongtan,,M
Joochan,Hong Joochan,7/31/99,Golden Child,South Korea,,,M
Jooheon,Lee Jooheon,10/6/94,MONSTA X,South Korea,Daegu,,M
Jooyeon,Lee Jooyeon,3/19/87,,South Korea,Seoul,,F
Joshua,Hong Jisoo,12/30/95,Seventeen,USA,Los Angeles,,M
Joy,Park Sooyoung,9/3/96,Red Velvet,South Korea,Jeju,,F
JR,Kim Jonghyun,6/8/95,NU'EST,South Korea,Gangwon,NU'EST W,M
Ju-ne,Koo Junhoe,3/31/97,iKON,South Korea,Seoul,,M
Jueun,Lee Jooeun,7/7/95,DIA,South Korea,Suwon,BinChaenHyunSeuS,F
Jueun,Jo Jueun,1/27/01,ARIAZ,South Korea,,,F
Juhaknyeon,Ju Haknyeon,3/9/99,The Boyz,South Korea,Jeju,,M
Juhyun,Cha Juhyun,4/1/00,Bling Bling,South Korea,,,F
Juju,Park Juyoung,1/3/96,Gate9,South Korea,Changwon,,F
Jun,Weng Junhui,6/10/96,Seventeen,China,Shenzen,,M
Jun,Lee Junyoung,1/22/97,U-KISS,South Korea,,,M
Jun,Park Junhee,6/2/94,A.C.E,South Korea,Jeolla,,M
Jun H.,Im Joonhyun,8/28/91,UNVS,South Korea,,,M
Jun. K,Kim Minjun,1/15/88,2PM,South Korea,Daegu,,M
Jungah,Kim Jungah,8/2/83,,South Korea,Incheon,,F
Junghoon,Lee Junghoon,7/4/00,1TEAM,South Korea,,,M
Junghun,Jang Junghun,2/27/99,Astin,South Korea,,,M
Junghwa,Park Junghwa,5/8/95,EXID,South Korea,Anyang,,F
Junghwan,So Junghwan,2/18/05,Treasure,South Korea,,,M
Jungkook,Jeon Jungkook,9/1/97,BTS,South Korea,Busan,,M
Jungmo,Koo Jungmo,2/5/00,CRAVITY,South Korea,,,M
Jungshin,Lee Jungshin,9/15/91,CNBLUE,South Korea,,,M
Jungwon,Yang Jungwon,2/9/04,ENHYPEN,South Korea,,,M
Jungwoo,Kim Jungwoo,2/19/98,NCT,South Korea,,,M
Jungwoo,Uhm Jungwoo,4/2/99,BVNDIT,South Korea,,,F
Junho,Lee Junho,1/25/90,2PM,South Korea,Ilsan,,M
Junho,Cha Junho,7/9/02,DRIPPIN,South Korea,,,M
Junhyeok,Kim Junhyeok,7/17/93,,South Korea,,,M
Junhyuk,Choi Junhyuk,4/21/92,HOTSHOT,South Korea,Ulsan,,M
Junhyung,Yong Junyung,12/19/89,Highlight,South Korea,Seoul,,M
Junhyung,Son Junhyung,10/21/00,Ghost9,South Korea,,,M
Junji,Kim Junhyung,4/6/98,OnlyOneOf,South Korea,,,M
Junkyu,Kim Junkyu,9/9/00,Treasure,South Korea,,,M
JunQ,Kang Junkyu,8/9/93,MYNAME,South Korea,Uljeongbu,,M
Junseo,Kim Junseo,11/20/01,WEi,South Korea,Ulsan,,M
Junseo,Hwang Junseo,1/16/01,DKB,South Korea,,,M
Junseo,Park Junseo,12/28/01,BAE173,South Korea,,,M
Junseong,Choi Junseong,9/29/02,Ghost9,South Korea,,,M
Juntae,Kim Juntae,9/4/95,MY.st,South Korea,,,M
Junwook,Kim Junwook,1/10/02,TheEastLight,South Korea,,,M
Junyoung,Lee Junyoung,9/23/00,IZ,South Korea,,,M
Juri,Takahashi Juri,10/3/97,Rocket Punch,Japan,,,F
Juyeon,Lee Juyeon,1/16/98,The Boyz,South Korea,,,M
Juyeon,Lee Juyeon,11/6/01,Saturday,South Korea,,,F
K.Me,Na Miri,4/10/92,BADKIZ,South Korea,Yeosu,,F
Kady,Gu Dokyoung,4/7/95,Gate9,South Korea,Busan,,F
Kaeun,Lee Kaeun,8/20/94,After School,South Korea,Seoul,,F
Kahi,Park Jiyoung,12/25/80,,South Korea,Daegu,,F
Kai,Kim Jongin,1/14/94,EXO,South Korea,Suncheon,SuperM,M
Kain,Bang Junho,3/25/97,ARGON,South Korea,,,M
Kanghyun,Kang Hyungu,11/24/98,Onewe,South Korea,,,M
Kangin,Kim Youngwoon,1/17/85,,South Korea,Seoul,,M
Kangmin,Kim Kangmin,11/13/01,TRCNG,South Korea,,,M
Kangmin,Noh Kangmin,9/5/99,Romeo,South Korea,,,M
Kangmin,Yoo Kangmin,1/25/03,Verivery,South Korea,,,M
Kangsung,Lee Kangsung,8/8/02,Ghost9,South Korea,,,M
Karin,Min Karin,1/5/02,ELRIS,South Korea,,,F
Karin,Baek Yerin,4/23/00,CRAXY,South Korea,,,F
Karina,Yoo Jimin,4/11/00,aespa,South Korea,Gyeonggi,,F
KB,Shin Kyubin,4/23/94,OnlyOneOf,South Korea,,,M
Keeho,Yoon Kiho,9/27/01,P1Harmony,Canada,,,M
Kei,Kim Jiyeon,3/20/95,Lovelyz,South Korea,Incheon,,F
Keina,Lee Yoona,2/12/99,H.U.B,South Korea,,,F
Kelly,Lin Kelly,1/16/02,TRI.BE,Taiwan,Kaohsiung,,F
Ken,Lee Jaehwan,4/6/92,VIXX,South Korea,Seoul,,M
Kenta,Takada Kenta,1/10/95,JBJ,Japan,Fujioka,,M
Keonhee,Lee Keonhee,6/27/98,Oneus,South Korea,,,M
Keonwoo,Kim Keonwoo,12/17/96,MY.st,South Korea,,,M
Keumjo,Lee Keumjo,12/17/92,9Muses,South Korea,Daegu,9MUSES A,F
Kevin,Christopher Woo,11/25/91,U-KISS,USA,Los Angeles,,M
Kevin,Kevin Jiyeop Kim,2/23/88,ZE:A,South Korea,Sydney,,M
Kevin,Moon Hyungseo,2/23/98,The Boyz,Canada,,,M
Key,Kim Kibum,9/23/91,SHINee,South Korea,Daegu,Toheart,M
Kiara,Baek Jinjoo,8/20/98,,South Korea,,,F
Kibum,Kim Kibum,8/21/87,,South Korea,Seoul,,M
Kichun,Hwang Kichun,3/14/92,,South Korea,,,M
Kid,Kim Junhoe,10/26/95,VARSITY,South Korea,,,M
Kidoh,Jin Hyosang,12/16/92,,South Korea,Seoul,,M
Kihyun,Yoo Kihyun,11/22/93,MONSTA X,South Korea,Goyang,,M
Kim Lip,Kim Jungeun,2/10/99,LOONA,South Korea,,Loona Odd Eye Circle,F
Kim Sanggyun,Kim Sanggyun,5/23/95,JBJ95,South Korea,Gwangju,JBJ,M
Kim Yoon,Kim Seongsu,2/17/94,DUSTIN,South Korea,,,M
Kino,Kang Hyungku,1/27/98,PENTAGON,South Korea,,,M
Kiseop,Lee Kiseop,1/17/91,U-KISS,South Korea,Seongnam,,M
Kisu,Choi Kisu,10/2/90,24K,South Korea,Seoul,,M
Kiwon,Lee Kiwon,6/27/96,GIDONGDAE,South Korea,,,M
Kokoro,Kato Kokoro,11/1/00,,Japan,,,F
Kongyeol,Go Minsoo,5/19/96,UP10TION,South Korea,Bucheon,,M
Kongyoo,Kong Yoojin,5/11/01,Bonus Baby,South Korea,,,F
Kookheon,Kim Kookheon,4/15/97,B.O.Y,South Korea,,,M
Kriesha Chu,Kriesha Ziskind Teo Tiu,12/20/98,,Philippines,Cebu,,F
Kris,Wu Yifan,11/6/90,,Canada,Guangzhou,,M
Krystal,Krystal Jung,10/24/94,f(x),South Korea,San Francisco,,F
Kuhn,Noh Sooil,11/11/95,UP10TION,South Korea,Ansan,,M
Kun,Qian Kun,1/1/96,NCT,China,,,M
Kwanghee,Hwang Kwanghee,8/25/88,ZE:A,South Korea,Paju,,M
Kwangjin,Kwon Kwangjin,8/12/92,N.Flying,South Korea,Seoul,,M
Kwangmin,Jo Kwangmin,4/24/95,Boyfriend,South Korea,Anyang,,M
Kyeongheon,Yoon Kyeongheon,1/6/98,We In The Zone,South Korea,Suncheon,,M
Kyla,Kyla Massie,12/26/01,Pristin,USA,California,,F
Kyle,Ma Jaekyung,1/15/97,Romeo,South Korea,,,M
